CourseID,PM_EXISTS,PM_DURATION,PM_MG,PM_MG_FB,PM_MG_ES,PM_MG_SA,PM_MG_OTHER,PM_REQ_ANX,PM_LIST_MTRLS_OPT1,PM_LIST_MTRLS_OPT2,PM_LIST_MTRLS_OPT3,PM_LIST_ANXMTRLS,PM_LCL_NAME,PM_RMT_NAME,PM_WEIGHT
ACG2001,0,0,0,0,0,0,Algorithmic,0,0,0,0,,Midterm Exam (local),Midterm Exam (remote),0
ACG2001L,0,0,0,0,0,0,,0,0,0,0,,,,0
ACG2011,0,0,0,0,0,0,,0,0,0,0,,,,0
ACG2011L,0,0,0,0,0,0,,0,0,0,0,,,,0
ACG2021,0,0,0,0,0,0,,0,0,0,0,,,,0
ACG2021L,0,0,0,0,0,0,,0,0,0,0,,,,0
ACG2031,0,0,0,0,0,0,,0,0,0,0,,,,0
ACG2071,0,0,0,0,0,0,,0,0,0,0,,,,0
ACG2071L,0,0,0,0,0,0,,0,0,0,0,,,,0
ACG2450,0,0,0,0,0,0,,0,0,0,0,,,,0
AMH2010,1,120,0,0,0,0,,0,0,0,0,,Proctored Midterm (Local),Proctored Midterm (Remote),20
AMH2020,1,120,0,0,0,0,,0,0,0,0,,Proctored Midterm (Local),Proctored Midterm (Remote),10
ARC2201,0,0,0,0,0,0,,0,0,0,0,,,,0
ARC2461,0,0,0,0,0,0,,0,0,0,0,,,,0
ARC2701,0,0,0,0,0,0,,0,0,0,0,,,,0
ARC2702,0,0,0,0,0,0,,0,0,0,0,,,,0
ARH1000,0,0,0,0,0,0,,0,0,0,0,,,,0
AVM2515,1,75,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),30
BAN1004,0,0,0,0,0,0,,0,0,0,0,,,,0
BCNXXXX,0,0,0,0,0,0,,0,0,0,0,,,,0
BSC1005,1,120,0,0,0,0,,0,0,0,0,,Proctored Midterm Examination (local),Proctored Midterm Examination (remote),30
BSC1050,0,0,0,0,0,0,,0,0,0,0,,,,0
BSC2010,1,120,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),30
BSC2085,1,120,0,0,0,0,,0,0,0,0,,Midterm Exam (local),Midterm Exam (remote),25
BSC2085L,1,120,0,0,0,0,,0,0,0,0,,Midterm Exam (local),Midterm Exam (remote),26
BSC2086,1,120,0,0,0,0,,0,0,0,0,,Midterm Exam (local),Midterm Exam (remote),25
BSC2086L,1,120,1,1,0,0,,0,0,0,0,,Midterm Exam (local),Midterm Exam (remote),26
BUL2241,1,120,0,0,0,0,,0,0,0,0,,Midterm Proctored Exam (Local),Midterm Proctored Exam (Remote),0
BUL4461,0,0,0,0,0,0,,0,0,0,0,,,,0
CCJ1010,1,90,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),15
CCJ1020,1,120,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),20
CCJ1191,1,90,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),20
CCJ2650,1,100,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),25
CCJ3032,0,0,0,0,0,0,,0,0,0,0,,,,0
CCJ3663,1,70,0,0,0,0,,0,0,0,0,,Mid-Term Exam (Proctored)Local- Requires Respondus LockDown Browser,Mid-Term Exam (Proctored) Remote,25
CCJ3666,1,120,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),30
CCJ3700,1,90,0,0,0,0,,0,0,0,0,,Proctored Midterm (Local),Proctored Midterm (Remote),25
CCJ4054,0,0,0,0,0,0,,0,0,0,0,,,,0
CCJ4450,0,0,0,0,0,0,,0,0,0,0,,,,0
CCJ4651,1,90,0,0,0,0,,0,0,0,0,,Proctored Midterm Exam (Local),Proctored Midterm Exam (Remote),25
CCJ4660,1,60,0,0,0,0,,0,0,0,0,,Proctored Midterm Exam,Proctored Midterm Exam (Remote),15
CGS1060,0,0,0,0,0,0,,0,0,0,0,,,,0
CGS1060C,0,0,0,0,0,0,,0,0,0,0,,,,0
CGS1540,1,90,0,0,0,0,,0,0,0,0,,Proctored Midterm Exam (Local),Proctored Midterm Exam (Remote),30
CGS1540C,1,90,0,0,0,0,,0,0,0,0,,Proctored Midterm Exam (Local),Proctored Midterm Exam (Remote),30
CGS1541,0,0,0,0,0,0,,0,0,0,0,,,,0
CGS1560,0,0,0,0,0,0,,0,0,0,0,,,,0
CGS2091,0,0,0,0,0,0,,0,0,0,0,,,,0
CGS2108,0,0,0,0,0,0,,0,0,0,0,,,,0
CGS3763,1,120,1,1,1,0,,0,0,0,0,Open PDF,Proctored Midterm Exam (Local),Proctored Midterm Exam (Remote),25
CHM1033,0,0,0,0,0,0,,0,0,0,0,,,,0
CHM1033L,0,0,0,0,0,0,,0,0,0,0,,,,0
CIS1321,1,90,0,0,0,0,,0,0,0,0,,Midterm Proctored  Exam (Local),Midterm Proctored  Exam (Remote),20
CIS2322,0,0,0,0,0,0,,0,0,0,0,,,,0
CIS3360,1,90,1,0,0,0,,0,0,0,0,Open PDF,Proctored Midterm Exam (Local),Proctored Midterm Exam (Remote),25
CIS3510,1,0,0,0,0,0,,0,0,0,0,,,,0
CIS4347,0,0,0,0,0,0,,0,0,0,0,,,,0
CIS4617,1,90,1,1,0,1,,0,0,0,0,Open PDF,Proctored Midterm Exam (LCL),Proctored Midterm Exam (RMT),20
CIS4891,0,0,0,0,0,0,,0,0,0,0,,,,0
CJC1000,1,90,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),25
CJC1162,1,90,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),25
CJC4311,0,0,0,0,0,0,,0,0,0,0,,,,0
CJE1640,0,0,0,0,0,0,,0,0,0,0,,,,0
CJE1680,0,0,0,0,0,0,,0,0,0,0,,,,0
CJE2600,1,90,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),20
CJE3115,1,60,1,0,0,0,,0,0,0,0,,Proctered Midterm Exam (Local),Proctered Midterm Exam (Remote),15
CJE3574,1,90,0,0,0,0,,0,0,0,0,,Proctored Midterm (Exam #1)/Local,Proctored Midterm (Exam #1)/Remote,25
CJE4615,1,60,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),CJE4615 Midterm Exam (Remote),12
CJJ2002,0,0,0,0,0,0,,0,0,0,0,,,,0
CJL1100,1,120,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Final Exam ( Remote),20
CJL2062,1,80,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),25
CJL3044,1,90,0,0,0,0,,0,0,0,0,,Midterm (Proctored) - L,Midterm (Proctored) - R,25
CJL3564,0,Exempt,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),0
CLP1006,1,80,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),30 points
CLP2140,0,0,0,0,0,0,,0,0,0,0,,,,0
CNT4603,0,0,0,0,0,0,,0,0,0,0,,,,0
CNT4702,0,0,0,0,0,0,,0,0,0,0,,,,0
COP1332,0,0,0,0,0,0,,0,0,0,0,,,,0
COP1334,1,90,0,0,0,0,,0,0,0,0,,Proctored Midterm (Local),Proctored Midterm (Remote),20
COP2333,1,90,0,0,0,0,,0,0,0,0,,Proctored Midterm (Local),Proctored Midterm (Remote),15
COP2800,0,0,0,0,0,0,,0,0,0,0,,,,0
COP2805C,0,0,0,0,0,0,,0,0,0,0,,,,0
COP2822,0,0,0,0,0,0,,0,0,0,0,,,,0
COP4656,0,0,0,0,0,0,,0,0,0,0,,,,0
COP4834,0,0,0,0,0,0,,0,0,0,0,,,,0
CTS1131,0,0,0,0,0,0,,0,0,0,0,,,,0
CTS1134,0,0,0,0,0,0,,0,0,0,0,,,,10
CTS2463,0,0,0,0,0,0,,0,0,0,0,,,,0
DEP2000,1,80,0,0,0,0,,0,0,0,0,,Proctored Midterm (Local),Proctored Midterm (Remote),30
DSC1006,1,120,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),25
DSC2242,0,0,0,0,0,0,,0,0,0,0,,,,0
DSC2590,1,120,0,0,0,0,,1,1,0,0,,Midterm Exam (Local),Midterm Exam (Remote),25
DSC4012,0,0,0,0,0,0,,0,0,0,0,,,,0
EAP1600,1,90,0,0,0,0,,1,1,0,0,Headphones,Proctored Midterm (local),Proctored Midterm (remote),20
EAP1600L,1,90,0,0,0,0,,1,1,0,0,Headphones,Proctored Midterm (local),Proctored Midterm (remote),20
EAP1620,0,0,0,0,0,0,,0,0,0,0,,,,0
EAP1640,0,0,0,0,0,0,,0,0,0,0,,,,0
EAP1640L,0,0,0,0,0,0,,0,0,0,0,,,,0
EAP1660,0,0,0,0,0,0,,0,0,0,0,,,,0
ECO2013,1,90,0,0,0,0,,1,1,0,1,,Midterm Exam (local),Midterm Exam (remote),20
ECO2023,1,90,0,0,0,0,,1,1,0,1,,Proctored Midterm Exam (local),Proctored Midterm Exam (remote),20
ECO2301,1,90,1,0,1,0,,0,0,0,0,,Midterm Exam (local),Midterm Exam (remote),20
EDF1005,0,0,0,0,0,0,,0,0,0,0,,,,0
EDF2085,1,120,0,0,0,0,,0,0,0,0,,Proctored Midterm (Local),Proctored Midterm (remote),10
EEC2523,0,0,0,0,0,0,,0,0,0,0,,,,0
EET1015C,0,0,0,0,0,0,,0,0,0,0,,,,0
EET1025C,0,0,0,0,0,0,,0,0,0,0,,,,0
EET1580,0,0,0,0,0,0,,0,0,0,0,,,,0
EET1581,0,0,0,0,0,0,,0,0,0,0,,,,0
EET2547C,0,0,0,0,0,0,,0,0,0,0,,,,0
EME2040,0,0,0,0,0,0,,0,0,0,0,,,,0
ENC0015,0,0,0,0,0,0,,0,0,0,0,,,,0
ENC0020,0,0,0,0,0,0,,0,0,0,0,,,,0
ENC0021,0,0,0,0,0,0,,0,0,0,0,,,,0
ENC0025,0,0,0,0,0,0,,0,0,0,0,,,,0
ENC1101,1,120,1,0,1,0,,1,1,0,0,,Proctored Midterm Exam (Local),Proctored Midterm Exam (Remote),15
ENC1102,0,0,0,0,0,0,,0,0,0,0,,,,0
ENC2300,1,120,1,0,1,0,,1,1,0,0,,Proctored Midterm Exam (local),Proctored Midterm Exam (remote),10
ENT2502,0,0,0,0,0,0,,0,0,0,0,,,,0
ESC1000,1,120,0,0,0,0,,0,0,0,0,,Proctored Midterm Exam (Local),roctored Midterm Exam (Remote),30
EST1572,0,0,0,0,0,0,,0,0,0,0,,,,0
EVR1001,0,0,0,0,0,0,,0,0,0,0,,,,0
FIN2000,1,75,1,1,0,0,,1,1,1,0,Open PDF- Open/Use Excel,Midterm (Module 2 Test)  Ch 9 10 18 (Local),Midterm (Module 2 Test) Ch 9 10 18 (Remote),20
FIN2010,1,45,0,0,0,0,,1,1,1,0,Scientific Calculator,Proctored Midterm Exam (Local),Proctored Midterm Exam (Remote ),30
FIN2051,0,0,0,0,0,0,,0,0,0,0,,,,0
FIN2100,1,60,0,0,0,0,,0,0,0,0,,Mod 2 Test Ch 6-9 (Local),Mod 2 Test Ch 6-9 (Remote),10
FIN3400,0,0,0,0,0,0,,0,0,0,0,,Module Exam 3 - Proctored Midterm (local),Module Exam 3 - Proctored Midterm (Remote),0
FIN3403,1,90,1,1,0,0,Algorithmic,1,1,0,0,Financial Calculator- Open PDF- Open/Use Excel,Midterm Exam (Ch 1-8) Local,Midterm Exam (Ch 1-8) Remote,30
FOT2826,1,60,0,0,0,0,,0,0,0,0,,Proctored Midterm Exam (Local),Proctored Midterm Exam (Remote),20
FSE1000,0,0,0,0,0,0,,0,0,0,0,,,,0
FSE2931,0,0,0,0,0,0,,0,0,0,0,,,,0
FSE2932,0,0,0,0,0,0,,0,0,0,0,,,,0
GEB1011,1,120,0,0,0,0,,1,1,0,0,,Proctored Midterm (L) Exam 2,Proctored Midterm (R) Exam 2,10
GEB2112,1,100,0,0,1,0,,1,1,1,1,,Proctored Midterm (local),Proctored Midterm (remote),20
GEB2350,0,0,0,0,0,0,,0,0,0,0,,,,0
GEB3358,0,0,0,0,0,0,,0,0,0,0,,,,0
HFT1000,1,60,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),20
HFT1210,1,60,0,0,0,0,,0,0,0,0,,Midterm Exam (Local Proctored),Midterm Exam (Remote Proctored),20
HFT2500,1,60,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),25
HFT2800,0,90,0,0,0,0,,0,0,0,0,,,,0
HIM0434,0,0,0,0,0,0,,0,0,0,0,,,,0
HIM0450,0,0,0,0,0,0,,0,0,0,0,,,,0
HIM1000,0,0,0,0,0,0,,0,0,0,0,,,,0
HIM1300,1,60,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),25
HIM2214C,0,0,0,0,0,0,,0,0,0,0,,,,0
HIM2433,0,0,0,0,0,0,,0,0,0,0,,,,0
HIM2472,1,120,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),20
HLP1081,0,0,0,0,0,0,,0,0,0,0,,,,0
HSC0003,1,120,0,0,0,0,,1,1,0,0,,Midterm Exam (Local),Midterm Exam (Remote),20
HSC2400,0,0,0,0,0,0,,0,0,0,0,,,,0
HUM1020,1,90,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),400
HUN1201,1,90,0,0,0,0,,1,1,1,0,,Midterm Exam (Local),Midterm Exam (Remote),30
IND1100,0,0,0,0,0,0,,0,0,0,0,,,,0
INR2002,0,0,0,0,0,0,,0,0,0,0,,,,0
ISM4011,1,90,0,0,0,0,,0,0,0,0,,idterm Exam  Chapters 1 3 4 & 5 (local),idterm Exam  Chapters 1 3 4 & 5 (remote),25
ISS1120,0,0,0,0,0,0,,0,0,0,0,,,,0
ISS1161,1,80,0,0,0,0,,0,0,0,0,,Proctored Midterm (L),Proctored Midterm [R},25
LIS2004,0,0,0,0,0,0,,0,0,0,0,,,,0
LIT2120,1,120,1,0,1,0,,0,0,0,0,,Proctored Midterm Exam (Local),Proctored Midterm Exam (Remote),10
LIT2480,1,120,1,0,1,0,,1,1,0,0,,Proctored Midterm Exam (local),Proctored Midterm Exam (remote),10
MAC1105,1,90,0,0,0,0,,1,1,1,0,,Proctored Midterm Exam (Local),Proctored Midterm Exam (Remote),30
MAC1114,1,90,0,0,0,0,,1,1,1,0,Open PDF,Midterm Exam (local),Midterm Exam (remote),20
MAC1140,1,120,0,0,0,0,,1,1,1,0,,Proctored Midterm (Local),Proctored Midterm (Remote),15
MAC1147,1,90,0,0,0,0,,1,1,0,1,,Proctored Midterm Exam (L),Proctored Midterm Exam ( R),35
MAC2233,1,90,0,0,0,0,,1,1,0,1,,Midterm Exam (local),Midterm Exam (remote),35
MAN2021,1,120,0,0,0,0,,1,1,1,0,,Proctored Midterm (L),Proctored Midterm ( R),15
MAN2604,1,90,0,0,0,0,,0,0,0,0,,Module 2 Exam - Midterm Chapters 4 - 7  (Local),Module 2 Exam  - Midterm Chapters 4 - 7 (Remote),25
MAN3025,1,120,0,0,0,0,,0,0,0,0,,Proctored Midterm - Exam 2 (Local),Proctored Midterm - Exam 2 (Remote),20
MAN3065,1,60,0,0,0,0,,0,0,0,0,,"Exam 2 - Midterm Exam (Local)
Exam 2 - Midterm Exam (Local)",Exam 2 - Midterm Exam (Remote),25
MAN3240,1,75,0,0,0,0,,0,0,0,0,,Exam 1(Midterm) - Chapters 1- 8 <em>(local)</em>,"Exam 1(Midterm) - Chapters 1- 8 <em>(remote)</em>
Exam 1(Midterm) - Chapters 1- 8 (remote)",17
MAN3301,1,75,0,0,0,0,,0,0,0,0,,Midterm Exam - Chapters 1 - 7 (Local),Midterm Exam - Chapters 1 - 7 (Remote),20
MAN3504,0,0,0,0,0,0,,0,0,0,0,,,,0
MAN3506,0,0,0,0,0,0,,0,0,0,0,,,,0
MAN3554,0,0,0,0,0,0,,0,0,0,0,,,,0
MAN3583,0,0,0,0,0,0,,0,0,0,0,,,,0
MAN3786,0,0,0,0,0,0,,0,0,0,0,,,,20
MAN4120,1,120,0,0,0,0,,0,0,0,0,,Module Exam #2 - Midterm (Local),Module Exam #2 - Midterm (Remote),30
MAN4162,1,120,1,1,0,1,,0,0,0,0,,Module 2 Exam (Midterm) - Chapters 5 - 8 (local),Module 2 Exam (Midterm) - Chapters 5 - 8 (remote),30
MAN4520,1,90,1,0,1,0,,0,1,0,0,,,,35
MAN4523,0,0,0,0,0,0,,0,0,0,0,,,,0
MAN4597,0,0,0,0,0,0,,0,0,0,0,,,,0
MAN4720,0,0,0,0,0,0,,0,0,0,0,,,,0
MAN4894,1,120,0,0,0,0,,1,0,0,0,,Midterm (Local),Midterm (Remote),20
MAN4900,0,0,0,0,0,0,,0,0,0,0,,,,0
MAN4940,0,0,0,0,0,0,,0,0,0,0,,,,0
MAN4941,0,0,0,0,0,0,,0,0,0,0,,,,0
MAR1011,1,75,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),18
MAR1210,0,0,0,0,0,0,,0,0,0,0,,,,0
MAR1720,1,120,1,0,0,1,,0,0,0,0,,Proctored Midterm (Local),Proctored Midterm (Remote),15
MAR2150,1,75,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),12
MAT0002,0,0,0,0,0,0,,0,0,0,0,,,,0
MAT0018,0,0,0,0,0,0,,0,0,0,0,,,,0
MAT0024,0,0,0,0,0,0,,0,0,0,0,,,,0
MAT0028,0,0,0,0,0,0,,0,0,0,0,,,,=
MAT1033,1,90,0,0,0,0,,1,1,1,0,,Proctored Midterm (local),Proctored Midterm (remote),30
MCB2010,1,70,0,0,0,0,,0,0,0,0,,Proctored Midterm Exam (local),Proctored Midterm Exam (remote),20
MGF1106,1,90,0,0,0,0,,1,1,1,1,,Midterm Exam (Local),Midterm Exam (Remote),20
MGF1107,1,120,0,0,0,0,,1,1,1,0,,Proctored Midterm Exam (local),Proctored Midterm Exam (remote),10
MKA1021,0,0,0,0,0,0,,0,0,0,0,,,,0
MKA1041,0,0,0,0,0,0,,0,0,0,0,,,,0
MKA1161,1,75,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),13
MNA1345,1,80,0,0,0,0,,0,0,0,0,, Proctored Assessment (local), Proctored Assessments (remote),20
MTB1103,0,0,0,0,0,0,,0,0,0,0,,,,0
MTB1322,1,90,0,0,0,0,,1,1,0,0,Scientific Calculator,Proctored Midterm (local),Proctored Midterm (remote),25
MUL1010,1,120,0,0,0,0,,0,0,0,0,Headphones,Midterm Exam (Local),Midterm Exam (Remote),20
MUL2380,0,0,0,0,0,0,,0,0,0,0,,,,0
MUM2700,1,0,0,0,0,0,,0,0,0,0,,,,0
MUM2702,1,120,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),7
MUM2703,0,0,0,0,0,0,,0,0,0,0,,,,0
MUM2704,0,0,0,0,0,0,,0,0,0,0,,,,0
NSP3685,0,0,0,0,0,0,,0,0,0,0,,,,0
NUR1002,1,60,0,0,0,0,,1,1,0,0,,Exam 1-5 (Midterm) Local,Exam 1-5 (Midterm) Remote,0
NUR1142,1,60,1,1,0,0,,0,1,0,0,,Proctored Midterm Exam (Local),Proctored Midterm Exam (Remote),0
NUR2212,1,120,0,0,0,0,,0,0,0,0,,Midterm Exam (L),Midterm Exam ( R ),0
NUR2310,0,0,0,0,0,0,,0,0,0,0,,,,0
NUR2420,0,0,0,0,0,0,,0,0,0,0,,,,0
NUR2520,1,75,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),0
NUR3045,1,90,0,0,0,0,,1,1,0,0,Open PDF,Proctored Midterm (local),Proctored Midterm (remote),25
NUR3069,1,60,0,0,0,0,,0,0,0,0,,Midterm Exam (local),Midterm Exam (remote),15
NUR3165,0,0,0,0,0,0,,0,0,0,0,,,,0
NUR3178,0,0,0,0,0,0,,0,0,0,0,,,,0
NUR3289,0,0,0,0,0,0,,0,0,0,0,,,,0
NUR3674,0,0,0,0,0,0,,0,0,0,0,,,,0
NUR3805,0,0,0,0,0,0,,0,0,0,0,,,,0
NUR3846,0,0,0,0,0,0,,0,0,0,0,,,,0
NUR4636,1,75,1,0,0,1,,1,1,0,0,,Proctored Midterm Exam (local),Proctored Midterm Exam (remote),15
NUR4667,1,120,1,0,0,0,,1,1,0,0,Open PDF,roctored Midterm Exam (Local),Proctored Midterm Exam (Remote),25
NUR4827,0,0,0,0,0,0,,0,0,0,0,,,,0
OCE1001,1,120,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),25
OST2335,1,60,1,0,1,0,,1,1,0,0,,Midterm Exam (local),Midterm Exam (remote),15
PHI2010,0,0,0,0,0,0,,0,0,0,0,,Proctored Midterm (local),,0
PHI2604,0,0,0,0,0,0,,0,0,0,0,,,,0
PHY1025,1,120,0,0,0,0,,1,1,0,1,Protractor- Ruler,Proctored Midterm (local),Proctored Midterm (remote),30
PLA2003,1,120,0,0,0,0,,0,0,0,0,,Proctored Midterm (Local)- Requires Respondus LockDown Browser,Proctored Misterm (Remote),20
POS2041,1,70,0,0,0,0,,0,0,0,0,,Module 2 Test (Proctored) (Local),Module 2 Test (Proctored) (Remote),10
POS2112,0,0,0,0,0,0,,0,0,0,0,,,,0
PSC1121,1,60,0,0,0,0,,1,1,0,0,,Midterm Exam (Local),Midterm Exam (Remote),100 points
PSC1515,1,60,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),25
PSY2012,0,0,0,0,0,0,,0,0,0,0,,,,0
PUR2003,1,90,1,0,1,0,,0,0,0,0,,Midterm (Local),Midterm (Remote),10
QMB2100,1,75,1,0,0,1,,1,1,1,0,Open PDF- Open/Use Excel,Proctored Midterm-Module Exam 2-Ch 6-8 (Local),Proctored Midterm-Module Exam 2-Ch 6-8 (Remote),25
QMB2100L,0,0,0,0,0,0,,0,0,0,0,,,,0
REA0002,0,0,0,0,0,0,,0,0,0,0,,,,0
REA0003,0,0,0,0,0,0,,0,0,0,0,,,,0
REA0007,0,0,0,0,0,0,,0,0,0,0,,,,0
REA0017,0,0,0,0,0,0,,0,0,0,0,,,,0
REE2040,0,0,0,0,0,0,,0,0,0,0,,,,0
REL1210,1,100,0,0,0,0,,0,0,0,0,,Proctored Midterm (L),Proctored Midterm ( R ),12.5
REL1240,1,90,1,0,1,1,,1,1,0,0,,Proctored Midterm (Local),Proctored Midterm (Remote),15
REL2300,1,100,0,0,0,0,,0,0,0,0,,Midterm Exam (Local),Midterm Exam (Remote),15
SBM1000,1,90,0,0,0,0,,1,1,1,0,,Proctored Exam (Local) - Module Exam 2 Proctored Exam (Local) - Module Exam 2,Proctored Exam (Local) - Module Exam 2 Proctored Exam (Remote) - Module Exam 2,15
SCC1000,1,90,1,0,0,1,,0,0,0,0,,Proctored (Local) Midterm Exam,proctored (Remote) Midterm Exam,25
SCC2020,1,90,0,0,0,0,,0,0,0,0,,,,25
SLS1106,0,0,0,0,0,0,,0,0,0,0,,,,0
SLS1505,0,0,0,0,0,0,,0,0,0,0,,,,0
SLS1510,0,0,0,0,0,0,,0,0,0,0,,,,0
SON1145L,0,0,0,0,0,0,,0,0,0,0,,,,0
SPC1017,1,120,0,0,0,0,,0,0,0,0,,Proctored Midterm Exam (Local),Proctored Midterm Exam (Remote),10
SPN1120,1,90,1,1,0,1,,1,0,0,0,Headphones- Speakers,Midterm Exam (LCL),Midterm Exam (RMT),15
SPN1121,1,90,1,1,1,1,,1,0,0,0,Speakers,MIDTERM EXAM (LCL),MIDTERM EXAM (RMT),15
SPN2220,0,0,0,0,0,0,,0,0,0,0,,,,0
STA2023,1,120,0,0,0,0,,1,1,1,1,Open PDF,Midterm Exam (Local),Midterm Exam (Remote),25
SYG2000,1,70,0,0,0,0,,1,1,0,0,,Proctored Midterm (L),Proctored Midterm( R ),0
SYG2230,1,120,0,0,0,0,,0,0,0,0,,Proctored Midterm (Local),Proctored Midterm (Remote),20
TAX2000,1,120,0,0,0,0,,1,1,1,0,, Midterm Exam (Local), Midterm Exam (Remote),20
TAX2010,0,0,0,0,0,0,,0,0,0,0,,,,0
THE2000,0,0,0,0,0,0,,0,0,0,0,,,,0
TRA1154,0,0,0,0,0,0,,0,0,0,0,,,,0
TRA2010,1,90,1,0,0,1,,1,1,0,0,,Midterm Exam (local),Midterm Exam (remote),20
TRA3132,0,0,0,0,0,0,,0,0,0,0,,,,0
WOH2012,1,120,0,0,0,0,,0,0,0,0,,Proctored Midterm (Local),Proctored Midterm (Remote),20
